inchikey,chemical,company
Error,"['(3,5-dihydroxy-5-methyl-4,5-dihydro-1,2-oxazol-4-yl)dioxidanyl']","['Trung Ði hc Kinh t - Lut, Ði hc Quc gia Thành ph H Chí Minh [Unknown]']"
Error,"['(3,5-dihydroxy-5-methyl-4,5-dihydro-1,2-oxazol-4-yl)oxidanyl']","['Trung Ði hc Kinh t - Lut, Ði hc Quc gia Thành ph H Chí Minh [Unknown]']"
Error,"['(3-hydroxy-1,2-oxazol-5-yl)methyl']","['Trung Ði hc Kinh t - Lut, Ði hc Quc gia Thành ph H Chí Minh [Unknown]']"
Error,['(5-methylisoxazol-3-yl)-sulfamate'],['HORIZON EUROPE Marie Sklodowska-Curie Actions [Unknown]']
Error,['(68)Zn'],"['Research Councils UK [Unknown]', 'Natural Environment Research Council [Unknown]', 'U.S. Environmental Protection Agency [Government]', 'Directorate-General for Research and Innovation [Unknown]']"
Error,['(68)Zn-E'],"['Research Councils UK [Unknown]', 'Natural Environment Research Council [Unknown]', 'U.S. Environmental Protection Agency [Government]', 'Directorate-General for Research and Innovation [Unknown]']"
Error,['(68)ZnO'],"['Research Councils UK [Unknown]', 'Natural Environment Research Council [Unknown]', 'U.S. Environmental Protection Agency [Government]', 'Directorate-General for Research and Innovation [Unknown]']"
Error,"['(9,10)-Anthraquinone']","['Ministerstvo Školství, Mládeže a Telovýchovy [Unknown]', 'Grantov Agentura Cesk Republiky [Unknown]', 'Horizon 2020 Framework Programme [Unknown]']"
Error,"['(9,10)-anthraquinone']","['Ministerstvo Školství, Mládeže a Telovýchovy [Unknown]', 'Grantov Agentura Cesk Republiky [Unknown]', 'Horizon 2020 Framework Programme [Unknown]']"
Error,['(90)Sr'],"['U.S. Department of Energy [Government]', 'Basic Energy Sciences [Unknown]']"
Error,['(90)Y'],"['U.S. Department of Energy [Government]', 'Basic Energy Sciences [Unknown]']"
Error,['(90)Zr'],"['U.S. Department of Energy [Government]', 'Basic Energy Sciences [Unknown]']"
Error,['(BB)-derived carbonaceous aerosols'],"['Schweizerischer Nationalfonds zur FÃ¶rderung der Wissenschaftlichen Forschung [Unknown]', 'Division of Atmospheric and Geospace Sciences [Unknown]', 'Office of International Science and Engineering [Unknown]']"
Error,"['(BDE 2, BDE 3) and diphenyl ether']","['Guangdong Science and Technology Department [Government]', 'National Natural Science Foundation of China [Foundation]', 'Chinese Academy of Sciences [Unknown]', 'Guangdong Province [Unknown]', 'State Key Laboratory of Organic Geochemistry [Unknown]']"
Error,['(BPS)-3.7'],"['National Natural Science Foundation of China [Foundation]', 'Natural Science Foundation of Zhejiang Province [Foundation]']"
Error,['(Bapp) of 11 polycyclic aromatic hydrocarbons'],"['China Scholarship Council [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'State Administration of Foreign Experts Affairs [Unknown]', ""Ministry of Education of the People's Republic of China [Government]"", 'National Institute of Food and Agriculture [University]']"
Error,['(BuNH3)6[Mo7O24]'],"['Fuzhou University [University]', 'Natural Science Foundation of Fujian Province [Foundation]']"
Error,['(C12-C22) fatty acids'],"['Division of Chemistry [Unknown]', 'Biological and Environmental Research [Unknown]', 'U.S. Department of Energy [Government]']"
Error,['(C2-C4) perfluoroalkyl carboxylic acids'],"['State Administration of Foreign Experts Affairs [Unknown]', ""Ministry of Education of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]', 'National Natural Science Foundation of China [Foundation]']"
Error,['(C22H14) and 1-methylpyrene'],"[""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]']"
Error,['(C4-C7) perfluoroalkyl carboxylic acids'],"[""Ministry of Science and Technology of the People's Republic of China [Government]"", 'State Key Laboratory of Environmental Chemistry and Ecotoxicology [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'National Research Program for Key Issues in Air Pollution Control [Unknown]']"
Error,['(C4–C7) perfluorocarboxylic acids'],"['Stiftelsen Åforsk [Unknown]', 'Företagsforskarskolan för Samverkan och Innovation, Umeå Universitet [University]', 'Umeå Energi AB [Unknown]']"
Error,['(C5-C18) and saturated hydroxy-fatty acids'],"['Division of Chemistry [Unknown]', 'Biological and Environmental Research [Unknown]', 'U.S. Department of Energy [Government]']"
Error,['(C8-C20) alkane'],"['Guangdong Science and Technology Department [Government]', 'Guangdong Province Introduction of Innovative R&D Team [Unknown]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'Division of Atmospheric and Geospace Sciences [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Natural Science Foundation of Guangdong Province [Foundation]', 'State Key Laboratory of Organic Geochemistry [Unknown]', 'Guangdong Foundation for Program of Science and Technology Research [Foundation]']"
Error,['(C:P)epi'],"['Schweizerischer Nationalfonds zur F&#x00F6 [Unknown]', 'rderung der Wissenschaftlichen Forschung [Unknown]', 'Bundesamt für Umwelt [Unknown]']"
Error,['(CH2) n(COONa)2'],"[""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]']"
Error,['(CH3)2C=CH'],['Japan Society for the Promotion of Science [Unknown]']
Error,['(CH3)2N-(SO2)-N'],['Ministry of the Environment [Government]']
Error,['(CH3)2N-N'],['Ministry of the Environment [Government]']
Error,['(CH3)2N-S(O2)-N'],['Ministry of the Environment [Government]']
Error,['(CH3)C=CH'],['Japan Society for the Promotion of Science [Unknown]']
Error,['(CNT)'],"['National Research Foundation of Korea [Foundation]', 'National Research Foundation of Korea [Foundation]']"
Error,['(CNTs)'],"['China Scholarship Council [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
Error,"['(CaSiO3), fused Ca-Mg-phosphates']",['Österreichische Forschungsförderungsgesellschaft [Unknown]']
Error,['(Cl-PFAES) and 8:2 Cl-PFAES'],['the National Natural Science Foundation of China [Foundation]']
Error,['(Cl-PFCAs) and perfluoroalkylether carboxylic acids'],"['Svenska Forskningsrådet Formas [Unknown]', 'Bundesministerium für Bildung und Forschung [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'State Oceanic Administration [Unknown]']"
Error,['(C═O)'],['National Natural Science Foundation of China [Foundation]']
Error,['(DISC)-SILICON'],['PBL Netherlands Environmental Assessment Agency [Unknown]']
Error,['(DMA)2(MSA)2'],"[""Ministry of Education of the People's Republic of China [Government]"", 'Academy of Finland [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'H2020 European Research Council [Unknown]', 'Helsingin Yliopisto [Unknown]', 'Supercomputing Center of Dalian University of Technology [University]']"
