inchikey,chemical,company
Error,['1-(4-propylcyclohexyl)-4-vinylcyclohexane'],"['Basic and Applied Basic Research Foundation of Guangdong Province [Foundation]', 'Guangdong Provincial Applied Science and Technology Research and Development Program [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'State Key Laboratory of Organic Geochemistry [Unknown]', 'Chinese Academy of Sciences [Unknown]']"
Error,['1-(prop-1-enyl)-4-(4-propylcyclohexyl) cyclohexane'],"['Basic and Applied Basic Research Foundation of Guangdong Province [Foundation]', 'Guangdong Provincial Applied Science and Technology Research and Development Program [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'State Key Laboratory of Organic Geochemistry [Unknown]', 'Chinese Academy of Sciences [Unknown]']"
Error,['1-NP'],"['Hong Kong Baptist University [University]', 'University Grants Committee [University]']"
Error,['1-OHPyr'],"[""Ministry of Education of the People's Republic of China [Government]"", 'National Key Research and Development Program of China [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
Error,"['1-ethoxy-2,3-difluoro-4-(4-(4-propylcyclohexyl) cyclohexyl) benzene']","['Basic and Applied Basic Research Foundation of Guangdong Province [Foundation]', 'Guangdong Provincial Applied Science and Technology Research and Development Program [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'State Key Laboratory of Organic Geochemistry [Unknown]', 'Chinese Academy of Sciences [Unknown]']"
Error,['10-monohydrochlordecone'],['Agence Nationale de la Recherche [Unknown]']
Error,['101 M-1'],"['State Key Laboratory of Urban Water Resource and Environment [Unknown]', 'Quanzhou City Science and Technology Program [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
Error,['11 C4 or C5 alkenes'],['U.S. Environmental Protection Agency [Government]']
Error,['129I'],"['Bureau of International Cooperation, Chinese Academy of Sciences [Unknown]', 'Bureau of Science and Technology for Development, Chinese Academy of Sciences [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'State Key Laboratory of Loess and Quaternary Geology [Unknown]', 'National Science and Technology Major Project [Unknown]']"
Error,['12:2 FTOH] > [14:2 FTOH] > [16:2 FTOH] > [10:2 FTOH] > [18:2 FTOH] > [20:2 FTOH] > [8:2 FTOH] ∼ [6:2 FTOH'],['Not Found [Unknown]']
Error,['13 aromatic and 11 aliphatic'],"['Science, Technology and Innovation Commission of Shenzhen Municipality [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
Error,['13C'],"['Ministry of Economy, Trade and Industry [Government]', 'Japan Society for the Promotion of Science [Unknown]', 'National Key Research and Development Program of China [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Agence Nationale de la Recherche [Unknown]']"
Error,['13C bicarbonate'],"['National Key Research and Development Program of China [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
Error,['13C-lactate'],['National Natural Science Foundation of China [Foundation]']
Error,['13CH4'],"['National Key Research and Development Program of China [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
Error,['13CO'],"['National Key Research and Development Program of China [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Program for Zhejiang Leading Team of S&T Innovation [Unknown]', 'Hangzhou Qianjiang Distinguished Experts Project [Unknown]']"
Error,['13CO2'],['National Natural Science Foundation of China [Foundation]']
Error,['14C'],"['Southern Marine Science and Engineering Guangdong Laboratory (Guangzhou) [Unknown]', 'Taishan Scholar Project of Shandong Province [Unknown]', 'Fundamental Research Funds for the Central Universities [University]', 'National Natural Science Foundation of China [Foundation]', 'Natural Science Foundation of Shandong Province [Foundation]', 'Ministerio de Ciencia, Innovaci?n y Universidades [University]', 'H2020 Marie Sklodowska-Curie Actions [Unknown]', 'Galician Competitive Research Group [Unknown]', 'Natural Science Basic Research Program of Shaanxi Province [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Chinese Academy of Sciences [Unknown]']"
Error,['14C-DBDPE'],"['National Natural Science Foundation of China [Foundation]', 'Zhejiang Provincial Natural Science Foundation of China [Foundation]']"
Error,['14C-SMX'],"['Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung [Unknown]', 'National Key Research and Development Program of China [Unknown]', 'Government of Jiangsu Province [Government]', 'National Natural Science Foundation of China [Foundation]']"
Error,['14CO2'],"['Natural Science Basic Research Program of Shaanxi Province [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Chinese Academy of Sciences [Unknown]']"
Error,['14C–CO2'],"['Ministerio de Ciencia, Innovaci?n y Universidades [University]', 'H2020 Marie Sklodowska-Curie Actions [Unknown]', 'Galician Competitive Research Group [Unknown]']"
